passage_id,question,passage
1997_926.txt_175,Na dołączenie czego do protokołu może zezwolić organ podatkowy?,"                               Art. 175.
Organ podatkowy może zezwolić na dołączenie do protokółu zeznania na piśmie
podpisanego przez zeznającego oraz innych dokumentów mających znaczenie
dla sprawy.
"
2001_19.txt_60,Do czego jest proporcjonalna wielkość limitu przyznawanego producentowi suszu?,"                              Art. 60.
1. Wielkość limitu przyznanego producentowi suszu jest proporcjonalna
  do wielkości produkowanego suszu w poprzednim roku, jeżeli wielkość
  limitu krajowego określonego przez ministra właściwego do spraw
  rynków rolnych nie przekracza limitu ustalonego w poprzednim roku.
2. Jeżeli limit krajowy jest wyższy od limitu roku poprzedniego,
  nadwyżkę dzieli się między producentów.
3. Producent suszu rozpoczynający produkcję może ubiegać się o
  przyznanie limitu wyłącznie w ramach podziału nadwyżki limitu, o
  którym mowa w ust. 2.
"
1999_998.txt_1,Kiedy została sporządzona Międzynarodowa Konwencja Przeciwko Braniu Zakładników?,"                                    Art. 1.
Wyraża się zgodę na dokonanie przez Prezydenta Rzeczypospolitej Polskiej
ratyfikacji Międzynarodowej Konwencji Przeciwko Braniu Zakładników,
sporządzonej w Nowym Jorku w dniu 18 grudnia 1979 r.
"
1997_933.txt_137,Kto dokonuje przekształcenia funduszu?,"                               Art. 137.
 1. Fundusz inwestycyjny zamknięty może zostać przekształcony w fundusz 
   inwestycyjny mieszany. 
 2. Fundusz inwestycyjny mieszany może zostać przekształcony w fundusz inwestycyjny
   zamknięty.
 3. Przekształcenia funduszu dokonuje towarzystwo funduszy inwestycyjnych 
   przez zmianę statutu funduszu.
                                    
"
1999_483.txt_19,Czy prezes Rady Ministrów określa wysokość wynagrodzenia wiceprzewodniczącego Rady Służby Cywilnej?,"                                   Art. 19.
Prezes Rady Ministrów określa, w drodze rozporządzenia, wysokość wynagrodzenia
przewodniczącego, wiceprzewodniczącego i pozostałych członków Rady Służby
Cywilnej, ustalanego jako wielokrotność najniższego wynagrodzenia za pracę
pracowników. Posłom i senatorom powołanym w skład Rady Służby Cywilnej
wynagrodzenie nie przysługuje.
   
"
1996_465.txt_1,Czy spółka partnerska jest spółką handlową?,"                                     Art. 1.
 §1. Ustawa reguluje tworzenie, organizację, funkcjonowanie, rozwiązywanie,
     łączenie, podział i przekształcanie spółek handlowych.
 §2. Spółkami handlowymi są: spółka jawna, spółka partnerska, spółka
     komandytowa, spółka komandytowo-akcyjna, spółka z ograniczoną
     odpowiedzialnością i spółka akcyjna.
 
"
1996_465.txt_114,Za co odpowiada osoba przystępująca do spółki w charakterze komandytariusza?,"                                    Art. 114.
  Kto przystępuje do spółki w charakterze komandytariusza odpowiada także za
 zobowiązania spółki istniejące w chwili wpisania go do rejestru.
 
"
2000_1100.txt_6,Czy dotychczasowe przepisy wykonawcze zachowują moc po wydaniu nowych przepisów wykonawczych?,"                                     Art. 6.
Dotychczasowe przepisy wykonawcze zachowują moc do czasu wydania nowych
przepisów wykonawczych, jeżeli nie są sprzeczne z niniejszą ustawą, nie dłużej
jednak niż przez okres 12 miesięcy od dnia wejścia w życie ustawy.
"
2001_476.txt_7,O czym jest tekst ustawy z dnia 10 kwietnia 1974 r.?,"                                   Art. 7.
Marszałek Sejmu, w terminie 6 miesięcy od dnia wejścia w życie niniejszej
ustawy, ogłosi w Dzienniku Ustaw Rzeczypospolitej Polskiej jednolity tekst
ustawy z dnia 10 kwietnia 1974 r. o ewidencji ludności i dowodach
osobistych, z uwzględnieniem zmian wynikających z przepisów ogłoszonych
przed dniem wydania jednolitego tekstu.
"
2000_1192.txt_3,Jakiej szerokości jest pas gruntu stanowiący strefę ochronną?,"                                    Art. 3.
1. Wokół Pomnika Zagłady ustanawia się strefę ochronną.
2. Strefę ochronną stanowi pas gruntu o szerokości nie większej niż 100 m od
  granic Pomnika Zagłady.
"
